France
Italy
Germany
Spain
Greece
Norway
Kingdom of the Netherlands
Poland
Finland
Switzerland
Belgium
Sweden
Denmark
Austria
Portugal
Ukraine
Romania
Hungary
Czech Republic
Malta
Serbia
Croatia
Luxembourg
Estonia
Slovenia
Czechoslovakia
Lithuania
Latvia
Kingdom of Italy
Albania
Bosnia and Herzegovina
Iceland
Bulgaria
Socialist Federal Republic of Yugoslavia
Armenia
Slovakia
East Germany
Georgia
Cyprus
Monaco
Vatican City
Liechtenstein
Russia
Soviet Union
