People's Republic of China
Qing dynasty
India
Dominion of India
British India
Japan
Philippines
Bangladesh
Malaysia
Singapore
Sri Lanka
Indonesia
South Korea
Taiwan
Hong Kong
Thailand
British Hong Kong
Ming dynasty
Myanmar
Cambodia
Vietnam
